category,main_category,name,num_reviews,price,rating
Highlighters,Makeup,Galaxy Stick ,19,$9.99 ,4.5
Mascara,Makeup,Superstar Red Carpet ,11,$11.95 ,4.3
Eyebrow Makeup,Makeup,Plumper ,41,$8.99 ,4.6
Eyeliner,Makeup,Matte-Matic Liner ,53,$8.99 ,1.6
Mascara,Makeup,Superstar Mascara ,71,$11.95 ,2.8
Mascara,Makeup,Superstar Mascara Waterproof ,35,$11.95 ,3.2
Eye Shadow,Makeup,Quads ,54,$7.95 ,4.1
Eye Shadow,Makeup,La Palette Nude ,70,$19.99 ,4.5
Makeup Primer,Makeup,Pro-Spray and Set Make-Up Oil-Free Setting Spray ,201,$16.99 ,4.1
Foundation Makeup,Makeup,Pro-Matte Foundation ,432,$12.99 ,4.1
Lip Gloss,Makeup,Pro-Matte Gloss ,92,$9.99 ,3.3
Face Powder,Makeup,Powder ,32,$11.95 ,4.5
Mascara,Makeup,Butterfly Waterproof Mascara ,19,$9.99 ,4.6
Lip Liner,Makeup,Never Fail Lipliner ,17,$8.99 ,3.8
Foundation Makeup,Makeup,Pro-Glow Foundation ,344,$12.99 ,4.3
Eyeliner,Makeup,Sculpt Eyeliner ,40,$8.99 ,1.5
Eyeliner,Makeup,Liner Noir ,28,$9.99 ,3.1
Mascara,Makeup,Lash Primer  ,1699,$8.95 ,4.5
Eye Shadow,Makeup,Pocket Palette Eye Shadow ,19,$9.99 ,3.9
Eyebrow Makeup,Makeup,Frame and Set ,157,$12.99 ,3.9
BB Cream,Makeup,Skin Beautifier BB Cream ,308,$10.95 ,3.7
Foundation Makeup,Makeup,Healthy Luminous Makeup ,191,$12.95 ,3.9
Eyeliner,Makeup,Lacquer Liner 24H ,110,$9.95 ,4.5
Concealer,Makeup,Super-Blendable Crayon Concealer ,102,$8.95 ,3.7
Mascara,Makeup,Million Lashes™ Excess ,43,$9.95 ,3.9
Mascara,Makeup,Butterfly Mascara ,138,$9.99 ,3.9
BB Cream,Makeup,Anti-Redness (For All Skin Tones)  ,59,$10.99 ,2.9
BB Cream,Makeup,Anti-Fatigue (For All Skin Types)  ,69,$10.99 ,2.4
Lipstick,Makeup,Collection Exclusive Nude Lipcolor ,66,$8.99 ,4.4
Mascara,Makeup,Butterfly Intenza,31,$8.99 ,3.2
Mascara,Makeup,Butterfly Intenza,26,$8.99 ,3.3
Eye Shadow,Makeup,Eye Shadow Crayon ,6,$7.99 ,4.8
Eyebrow Makeup,Makeup,Designer ,32,$7.99 ,3.4
Face Powder,Makeup,Pro-Matte Powder ,45,$12.99 ,4.3
Eyeliner,Makeup,Smokissime ,22,$9.99 ,3.5
Lipstick,Makeup,Lipcolour ,436,$8.95 ,4.4
Lipstick,Makeup,La Lacque Lip Pen ,16,$9.99 ,4.4
Highlighters,Makeup,Powder Glow Illuminator ,38,$12.99 ,3.7
Highlighters,Makeup,Liquid Glow Illuminator ,31,$12.99 ,4.1
Hair Treatments,Hair Care,Repair Remedy Balm  ,232,$9.99 ,4.6
Hair Treatments,Hair Care,Blonde Shade Reviving Treatment  ,11,$9.99 ,4.5
Conditioner,Hair Care,Volume Conditioner  ,1639,$7.99 ,4.3
Conditioner,Hair Care,Repair and Defend Conditioner  ,551,$7.99 ,4.5
Conditioner,Hair Care,Frizz-Defy Conditioner  ,1869,$7.99 ,4.4
Conditioner,Hair Care,Deep Nourish Conditioner  ,1250,$7.99 ,4.5
Hair Treatments,Hair Care,Extraordinary Oil Deep Nourishing Treatment Serum  ,11,$6.99 ,3.8
Conditioner,Hair Care,Color Vibrancy Rapid Reviver Deep Conditioner  ,2814,$5.99 ,4.5
Hair Treatments,Hair Care,Total Repair 5 Protein Recharge Treatment  ,1955,$6.99 ,4.5
Conditioner,Hair Care,Total Repair 5 Rapid Reviver Deep Conditioner  ,3091,$5.99 ,4.5
Conditioner,Hair Care,Extraordinary Oil Rapid Reviver Deep Conditioner  ,2872,$5.99 ,4.5
Shampoo,Hair Care,Brass Toning Purple Sulfate Free Shampoo  ,1435,$7.99 ,4.4
Conditioner,Hair Care,Brass Toning Purple Sulfate Free Conditioner  ,1198,$7.99 ,4.4
Shampoo,Hair Care,"Dream Lengths Restoring Shampoo for Long, Damaged Hair  ",50,$4.99 ,4.8
Conditioner,Hair Care,"Dream Lengths Conditioner for Long, Damaged Hair  ",104,$4.99 ,4.8
Hair Treatments,Hair Care,8 Second Wonder Water Lamellar Hair Treatment  ,131,$9.99 ,4.7
Conditioner,Hair Care,Color Vibrancy Purple Conditioner for Color Treated Hair  ,117,$4.99 ,4.8
Shampoo,Hair Care,Color Vibrancy Purple Shampoo for Color Treated Hair  ,114,$4.99 ,4.7
Hair Treatments,Hair Care,Dream Lengths No Haircut Cream Leave In Conditioner  ,108,$6.99 ,4.8
Conditioner,Hair Care,HydraCharge Conditioner  ,1351,$7.99 ,4.4
Shampoo,Hair Care,Keratin Caring Shampoo  ,15,$7.99 ,3.4
Shampoo,Hair Care,Antidandruff Shampoo  ,1252,$7.99 ,4.3
Hair Serum,Hair Care,Frizz Finish Oil-In-Serum  ,7,$9.99 ,4.4
Hair Treatments,Hair Care,Sculpt & Hold Cream-Gel  ,1343,$9.99 ,4
Hair Treatments,Hair Care,Micro-Exfoliating Scrub  ,1060,$9.99 ,4.2
Hair Treatments,Hair Care,Break Proof Lotion  ,5,$9.99 ,4.8
Conditioner,Hair Care,Keratin Caring Conditioner  ,7,$7.99 ,3.9
Conditioner,Hair Care,Thickening Conditioner  ,24,$7.99 ,4.2
Shampoo,Hair Care,Extraordinary Clay Shampoo ,1851,$4.99 ,4.4
Shampoo,Hair Care,Thickening Shampoo  ,78,$7.99 ,4
Hair Mask,Hair Care,Color Vibrancy Repair and Protect Balm  ,4903,$6.99 ,4.4
Conditioner,Hair Care,Extraordinary Clay Conditioner ,1250,$4.99 ,4.5
Conditioner,Hair Care,Blonde Conditioner  ,2014,$7.99 ,4.2
Conditioner,Hair Care,Moisture Conditioner ,1665,$7.99 ,4.5
Shampoo,Hair Care,Volume Shampoo  ,1974,$7.99 ,4.3
Shampoo,Hair Care,Repair & Defend Shampoo  ,1724,$7.99 ,4.4
Shampoo,Hair Care,Blonde Shampoo  ,2349,$7.99 ,4.2
Shampoo,Hair Care,Moisture Shampoo ,3166,$3.29 ,4.4
Shampoo,Hair Care,Total Repair Extreme Renewing Shampoo ,93,$4.99 ,4.4
Shampoo,Hair Care,Volume Filler Thickening Shampoo ,110,$7.49 ,3.9
Hair Mask,Hair Care,Total Repair Extreme Emergency Recovery Mask  ,40,$6.99 ,4.6
Hair Treatments,Hair Care,Volume Filler Densifying Gelee  ,44,$6.99 ,4.3
Conditioner,Hair Care,Volume Filler Thickening Conditioner ,46,$7.49 ,4.4
Conditioner,Hair Care,Total Repair Extreme Renewing Conditioner ,80,$4.99 ,4.6
Hair Serum,Hair Care,Extraordinary Oil Treatment  ,6313,$6.99 ,4.5
Hair Treatments,Hair Care,Extraordinary Oil-In-Cream  ,1601,$6.99 ,4.7
Cleansing Conditioner,Hair Care,Cleansing Balm  ,284,$11.99 ,3.8
Shampoo,Hair Care,Extraordinary Oil Curls Shampoo ,788,$4.99 ,4.6
Hair Mask,Hair Care,Extraordinary Oil Curls Re-Nourish Mask  ,733,$6.99 ,4.7
Conditioner,Hair Care,Extraordinary Oil Curls Conditioner ,753,$4.99 ,4.7
Conditioner,Hair Care,Extraordinary Oil Conditioner ,2349,$4.99 ,4.8
Shampoo,Hair Care,Power Moisture Hydrating Shampoo ,31,$4.99 ,4.3
Shampoo,Hair Care,Total Repair 5 Repairing Shampoo ,260,$4.99 ,4.6
Shampoo,Hair Care,Extraordinary Oil Shampoo ,3279,$4.99 ,4.7
Shampoo,Hair Care,Color Vibrancy Protecting Shampoo ,247,$4.99 ,4.2
Hair Treatments,Hair Care,Total Repair 5 Damage Erasing Balm  ,4107,$6.99 ,4.4
Shampoo,Hair Care,Deep Nourish Shampoo  ,1450,$7.99 ,4.5
Shampoo,Hair Care,Extra Gentle 2-in-1 Shampoo With a Burst of Watermelon  ,6,$3.49 ,5
Shampoo,Hair Care,Strawberry Smoothie 2-in-1 Shampoo for Extra Softness  ,5,$3.49 ,4.8
Shampoo,Hair Care,Extra Gentle 2-in-1 Swim & Sport Shampoo  ,9,$3.19 ,4.9
Shampoo,Hair Care,Smooth Intense Smoothing Shampoo ,45,$4.99 ,4
Hair Serum,Hair Care,Smooth Intense Frizz Taming Serum  ,47,$6.99 ,4.3
Conditioner,Hair Care,Smooth Intense Smoothing Conditioner ,25,$4.99 ,3.8
Conditioner,Hair Care,Power Moisture Hydrating Conditioner ,14,$4.99 ,4.6
Conditioner,Hair Care,Total Repair 5 Repairing Conditioner ,104,$4.99 ,4.6
Self Tanner,Skin Care,Hydrating Self-Tanning Milk Medium ,184,$12.99 ,4.3
Face Scrub,Skin Care,Nourish & Soften Cocoa Scrub  ,783,$12.99 ,4.5
Face Scrub,Skin Care,Resurface & Energize Kona Coffee Scrub  ,838,$12.99 ,4.6
Eye Cream,Skin Care,Age Perfect Hydra Nutrition Manuka Honey Eye Gel  ,446,$24.99 ,4.5
Facial Moisturizer,Skin Care,Age Perfect Hydra Nutrition Honey Day Cream  ,450,$19.99 ,4.4
Facial Moisturizer,Skin Care,"Age Perfect Hydra Nutrition Manuka Honey All Over Balm - Face, Neck, Chest and Hands  ",379,$24.99 ,4.8
Facial Moisturizer,Skin Care,10% Pure Vitamin C Serum  ,1801,$29.99 ,4.4
Night Cream,Skin Care,Age Perfect Hydra Nutrition Honey Night Balm   ,417,$19.99 ,4.6
Facial Moisturizer,Skin Care,Rosy Tone Fragrance Free Face Moisturizer  ,318,$24.99 ,4.6
Self Tanner,Skin Care,Self-Tanning Water Mousse  ,941,$14.99 ,4.2
Eye Cream,Skin Care,Rosy Tone Anti-Aging Eye Brightener Paraben Free  ,142,$24.99 ,4.5
Sunscreen for Face,Skin Care,Rosy Tone Broad Spectrum SPF 30 Sunscreen  ,419,$24.99 ,4.7
Facial Moisturizer,Skin Care,Triple Power Anti-Aging Moisturizer Fragrance Free  ,1105,$24.99 ,4.5
Facial Moisturizer,Skin Care,Anti-Wrinkle + Firming Face & Neck Fragrance Free Moisturizer  ,,$17.99 ,
Face Serum,Skin Care,10% Pure Glycolic Acid Serum  ,1130,$29.99 ,4.6
Sunscreen for Face,Skin Care,Triple Power Day Lotion SPF 30  ,1002,$24.99 ,4.3
Facial Moisturizer,Skin Care,Anti-Wrinkle + Firming Moisturizer Fragrance Free  ,,$17.99 ,
Face Serum,Skin Care,1.9% Pure Hyaluronic Acid 7 Replumping Ampoules  ,,$24.99 ,
Facial Moisturizer,Skin Care,Anti Wrinkle Firming Day Cream SPF 25  ,1202,$17.99 ,4.2
Facial Moisturizer,Skin Care,"Rosy Tone Moisturizer for Mature, Dull Skin  ",3639,$24.99 ,4.4
Facial Moisturizer,Skin Care,1.5% Pure Hyaluronic Acid Serum  ,1722,$29.99 ,4.5
